id;company_name;address;phone;nif_number;commercial_register;bank_account;mandating_establishment;email;website;description;contact_firstname;contactlastname
1;débile plaisanter gai;de sorte que comme;0362208090;carrément;trop membre du personnel collègue;bang police;tchou tchouu population du Québec aider;Esther2@gmail.com;tandis que suffire;trop habiter montrer;zzzz;partout
2;communauté étudiante;serviable;0447863821;ouille lectorat présidence;débile conseil d’administration agréable;dès;à partir de avant;Daniel97@gmail.com;envers;tant avant;dès que crac;trier vanter garder
3;loin carrément;déplacer renverser;+33 518386132;bientôt à condition que;cyan;terriblement timide apprivoiser;concurrence quitter espérer;Andeol57@yahoo.fr;si;électorat résumer direction;affronter;chef de cuisine prout
4;simplifier comporter;arranger longtemps;0119877355;spécialiste glouglou;au lieu de avant nourrir;bè endormir triste;d'après propre gueuler;Aymonde9@gmail.com;rêver areu areu fleurir;ralentir;sauf partenaire marron;commissionnaire secours présidence
5;enfin dès que dense;ouch;0114645368;soudain hôte gai;âcre;smack;glisser conclure spécialiste;Arcadie_Bourgeois35@gmail.com;enfin bzzz broum;parlementaire dépendre;à l'égard de;rattacher
6;corps enseignant;au-devant;0526440625;commissionnaire à l'exception de ha;membre titulaire;avant paf population du Québec;au point que;Emerance.Guerin@hotmail.fr;assez;d'entre pour que ailleurs;mairie pourvu que;euh hôte
7;déjà vraiment maigre;peut-être aux alentours de toutefois;0366824064;hier clientèle;glouglou raser abattre;commissionnaire assez;snif tantôt commis;Laurane_Dupont1@yahoo.fr;conseil d’administration mélancolique;vroum;à côté de;disposer aussitôt que insolite
8;adorable à demi;contraindre désormais ménager;+33 435240224;à l'entour de;de peur que atchoum;mairie;hors de cadre;Joseph_Perez97@yahoo.fr;aligner pendant que plancher;agréable timide si;pourvu que de façon que;coupable devant
9;rattacher population du Québec main-d’œuvre;pourvu que avoir;+33 113682108;afin que pendant que placide;efficace;rectangulaire atchoum;en faveur de opérer psitt;Tim_Jacquet0@hotmail.fr;collègue ferme camarade;psitt;après que jeune dans;rencontrer
10;commissionnaire sauf à tandis que;placide;+33 349642489;hi;ignorer pour que plouf;répondre jadis;badaboum près;Guillaume.Fleury@hotmail.fr;glouglou de peur de de par;tant installer lunatique;téméraire drelin retarder;lentement
